Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.05     0.00     1416     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_Equal_hash_code<std::__detail::_Hash_node<std::pair<int const, pxr::gfx::SpriteSheet>, false> >::_S_equals(unsigned long, std::__detail::_Hash_node<std::pair<int const, pxr::gfx::SpriteSheet>, false> const&)
  0.00      0.05     0.00     1315     0.00     0.00  std::_Hashtable<int, std::pair<int const, pxr::gfx::Font>, std::allocator<std::pair<int const, pxr::gfx::Font> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(int const&, unsigned long) const
  0.00      0.05     0.00     1315     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, pxr::gfx::Font>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(int const&, unsigned long, unsigned long) const
  0.00      0.05     0.00     1315     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, pxr::gfx::Font>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      0.05     0.00     1314     0.00     0.00  std::_Hashtable<int, std::pair<int const, pxr::gfx::Font>, std::allocator<std::pair<int const, pxr::gfx::Font> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  0.00      0.05     0.00     1314     0.00     0.00  std::_Hashtable<int, std::pair<int const, pxr::gfx::Font>, std::allocator<std::pair<int const, pxr::gfx::Font> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.05     0.00     1314     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, pxr::gfx::Font>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      0.05     0.00     1314     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, pxr::gfx::Font>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00      0.05     0.00     1314     0.00     0.00  std::_Hashtable<int, std::pair<int const, pxr::gfx::Font>, std::allocator<std::pair<int const, pxr::gfx::Font> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::end()
  0.00      0.05     0.00     1313     0.00     0.00  decltype ((get<0>)((forward<std::pair<int const, pxr::gfx::Font>&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<int const, pxr::gfx::Font>&>(std::pair<int const, pxr::gfx::Font>&) const
  0.00      0.05     0.00     1313     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, pxr::gfx::Font>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      0.05     0.00     1313     0.00     0.00  std::_Hashtable<int, std::pair<int const, pxr::gfx::Font>, std::allocator<std::pair<int const, pxr::gfx::Font> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(int const&)
  0.00      0.05     0.00     1313     0.00     0.00  int const& std::__pair_get<0ul>::__get<int const, pxr::gfx::Font>(std::pair<int const, pxr::gfx::Font>&)
  0.00      0.05     0.00     1313     0.00     0.00  std::unordered_map<int, pxr::gfx::Font, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, pxr::gfx::Font> > >::end()
  0.00      0.05     0.00     1313     0.00     0.00  std::unordered_map<int, pxr::gfx::Font, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, pxr::gfx::Font> > >::find(int const&)
